date,state,positive
20200904,AZ,204681
20200904,CA,722283
20200904,CO,58287
20200904,CT,53365
20200904,DC,14186
20200904,DE,17752
20200904,FL,640211
20200904,GA,279354
20200904,GU,1619
20200904,HI,9202
20200904,IA,66614
20200904,ID,32927
20200904,IL,247299
20200904,IN,97884
20200904,KS,45220
20200904,KY,51677
20200904,LA,152369
20200904,MA,121758
20200904,MD,110831
20200904,ME,4632
20200904,MI,116295
20200904,MN,78966
20200904,MO,90215
20200904,MP,57
20200904,MS,85939
20200904,MT,8019
20200904,NC,174254
20200904,ND,12971
20200904,NE,35469
20200904,NH,7368
20200904,NJ,193422
20200904,NM,25812
20200904,NV,70712
20200904,NY,437971
20200904,OH,128444
20200904,OK,62040
20200904,OR,27601
20200904,PA,137662
20200904,PR,34241
20200904,RI,22243
20200904,SC,123325
20200904,SD,14596
20200904,TN,160597
20200904,TX,630829
20200904,UT,53839
20200904,VA,124779
20200904,VI,1150
20200904,VT,1642
20200904,WA,75856
20200904,WI,84464
20200904,WV,11037
20200904,WY,3989
20200903,AK,6339
20200903,AL,129285
20200903,AR,63504
20200903,AS,0
20200903,AZ,203953
20200903,CA,717177
20200903,CO,58019
20200903,CT,53209
20200903,DC,14135
20200903,DE,17653
20200903,FL,637013
20200903,GA,277288
20200903,GU,1560
20200903,HI,8991
20200903,IA,65523
20200903,ID,32664
20200903,IL,241705
20200903,IN,96854
20200903,KS,43940
20200903,KY,50885
20200903,LA,151547
20200903,MA,121546
20200903,MD,110012
20200903,ME,4617
20200903,MI,115242
20200903,MN,78123
20200903,MO,88610
20200903,MP,57
20200903,MS,85116
20200903,MT,7871
20200903,NC,172209
20200903,ND,12629
20200903,NE,34995
20200903,NH,7347
20200903,NJ,192973
20200903,NM,25612
20200903,NV,70223
20200903,NY,437107
20200903,OH,127112
20200903,OK,61027
20200903,OR,27336
20200903,PA,136771
20200903,PR,34198
20200903,RI,22143
20200903,SC,121696
20200903,SD,14337
20200903,TN,159546
20200903,TX,625347
20200903,UT,53326
20200903,VA,123668
20200903,VI,1144
20200903,VT,1637
20200903,WA,75377
20200903,WI,82922
20200903,WV,10845
20200903,WY,3939
20200902,AK,6233
20200902,AL,128239
20200902,AR,62112
20200902,AS,0
20200902,AZ,202861
20200902,CA,712052
20200902,CO,57775
20200902,CT,53108
20200902,DC,14077
20200902,DE,17549
20200902,FL,633442
20200902,GA,274613
20200902,GU,1494
20200902,HI,8653
20200902,IA,64645
20200902,ID,32368
20200902,IL,240345
20200902,IN,95750
20200902,KS,43940
20200902,KY,49991
20200902,LA,150734
20200902,MA,121131
20200902,MD,109319
20200902,ME,4567
20200902,MI,114468
20200902,MN,77085
20200902,MO,87213
20200902,MP,57
20200902,MS,84365
20200902,MT,7691
20200902,NC,170553
20200902,ND,12270
20200902,NE,34574
20200902,NH,7297
20200902,NJ,192595
20200902,NM,25460
20200902,NV,69872
20200902,NY,436218
20200902,OH,125767
20200902,OK,60118
20200902,OR,27075
20200902,PA,135611
20200902,PR,34003
20200902,RI,22078
20200902,SC,120503
20200902,SD,14003
20200902,TN,157831
20200902,TX,621667
20200902,UT,52822
20200902,VA,122542
20200902,VI,1143
20200902,VT,1637
20200902,WA,74939
20200902,WI,82182
20200902,WV,10642
20200902,WY,3911
20200901,AK,6160
20200901,AL,127616
20200901,AR,61497
20200901,AS,0
20200901,AZ,202342
20200901,CA,707797
20200901,CO,57424
20200901,CT,53006
20200901,DC,14049
20200901,DE,17535
20200901,FL,631040
20200901,GA,272697
20200901,GU,1447
20200901,HI,8472
20200901,IA,63919
20200901,ID,32088
20200901,IL,238217
20200901,IN,94891
20200901,KS,42612
20200901,KY,49185
20200901,LA,149583
20200901,MA,128888
20200901,MD,108863
20200901,ME,4548
20200901,MI,113820
20200901,MN,76355
20200901,MO,85755
20200901,MP,57
20200901,MS,83584
20200901,MT,7509
20200901,NC,169424
20200901,ND,12004
20200901,NE,34287
20200901,NH,7297
20200901,NJ,192290
20200901,NM,25352
20200901,NV,69633
20200901,NY,435510
20200901,OH,124610
20200901,OK,59399
20200901,OR,26946
20200901,PA,134795
20200901,PR,33421
20200901,RI,22002
20200901,SC,119846
20200901,SD,13749
20200901,TN,156329
20200901,TX,617333
20200901,UT,52403
20200901,VA,121615
20200901,VI,1139
20200901,VT,1635
20200901,WA,74635
20200901,WI,81604
20200901,WV,10507
20200901,WY,3866
20200831,AK,6125
20200831,AL,126058
20200831,AR,61224
20200831,AS,0
20200831,AZ,201835
20200831,CA,704085
20200831,CO,57223
20200831,CT,52879
20200831,DC,13992
20200831,DE,17429
20200831,FL,623471
20200831,GA,270471
20200831,GU,1395
20200831,HI,8339
20200831,IA,63328
20200831,ID,31867
20200831,IL,236725
20200831,IN,94196
20200831,KS,42612
20200831,KY,48396
20200831,LA,148894
20200831,MA,128533
20200831,MD,108249
20200831,ME,4526
20200831,MI,113025
20200831,MN,75864
20200831,MO,84697
20200831,MP,56
20200831,MS,82950
20200831,MT,7421
20200831,NC,167313
20200831,ND,11810
20200831,NE,34046
20200831,NH,7275
20200831,NJ,191960
20200831,NM,25283
20200831,NV,69228
20200831,NY,434756
20200831,OH,123157
20200831,OK,58733
20200831,OR,26713
20200831,PA,134025
20200831,PR,33199
20200831,RI,21949
20200831,SC,118992
20200831,SD,13509
20200831,TN,154933
20200831,TX,612969
20200831,UT,52107
20200831,VA,120594
20200831,VI,1134
20200831,VT,1624
20200831,WA,74320
20200831,WI,80568
20200831,WV,10250
20200831,WY,3842
20200830,AK,6086
20200830,AL,125235
20200830,AR,60856
20200830,AS,0
20200830,AZ,201661
20200830,CA,699909
20200830,CO,57041
20200830,CT,52495
20200830,DC,13959
20200830,DE,17343
20200830,FL,621586
20200830,GA,268973
20200830,GU,1347
20200830,HI,8139
20200830,IA,62720
20200830,ID,31677
20200830,IL,235057
20200830,IN,93313
20200830,KS,41048
20200830,KY,48032
20200830,LA,148568
20200830,MA,128229
20200830,MD,107791
20200830,ME,4512
20200830,MI,112526
20200830,MN,75189
20200830,MO,83655
20200830,MP,56
20200830,MS,82676
20200830,MT,7340
20200830,NC,166127
20200830,ND,11696
20200830,NE,33753
20200830,NH,7254
20200830,NJ,191611
20200830,NM,25178
20200830,NV,68908
20200830,NY,434100
20200830,OH,122262
20200830,OK,58020
20200830,OR,26554
20200830,PA,133504
20200830,PR,32848
20200830,RI,21903
20200830,SC,118324
20200830,SD,13322
20200830,TN,153115
20200830,TX,610354
20200830,UT,51854
20200830,VA,119747
20200830,VI,1129
20200830,VT,1616
20200830,WA,74320
20200830,WI,80300
20200830,WV,10110
20200830,WY,3820
20200829,AK,6035
20200829,AL,123889
20200829,AR,60378
20200829,AS,0
20200829,AZ,201287
20200829,CA,693839
20200829,CO,56773
20200829,CT,52495
20200829,DC,13925
20200829,DE,17349
20200829,FL,619003
20200829,GA,267758
20200829,GU,1347
20200829,HI,7830
20200829,IA,61749
20200829,ID,31384
20200829,IL,233065
20200829,IN,92434
20200829,KS,41048
20200829,KY,47577
20200829,LA,146944
20200829,MA,128030
20200829,MD,107294
20200829,ME,4489
20200829,MI,111136
20200829,MN,74257
20200829,MO,82190
20200829,MP,56
20200829,MS,82029
20200829,MT,7251
20200829,NC,165076
20200829,ND,11475
20200829,NE,33436
20200829,NH,7246
20200829,NJ,191320
20200829,NM,25042
20200829,NV,68461
20200829,NY,433402
20200829,OH,121340
20200829,OK,57353
20200829,OR,26293
20200829,PA,132834
20200829,PR,32550
20200829,RI,21857
20200829,SC,117249
20200829,SD,12942
20200829,TN,152280
20200829,TX,606530
20200829,UT,51406
20200829,VA,118809
20200829,VI,1118
20200829,VT,1605
20200829,WA,73301
20200829,WI,79730
20200829,WV,9967
20200829,WY,3784
20200828,AK,5923
20200828,AL,122185
20200828,AR,59583
20200828,AS,0
20200828,AZ,200658
20200828,CA,688858
20200828,CO,56343
20200828,CT,52495
20200828,DC,13851
20200828,DE,17083
20200828,FL,615806
20200828,GA,265372
20200828,GU,1287
20200828,HI,7566
20200828,IA,60971
20200828,ID,31122
20200828,IL,231185
20200828,IN,91313
20200828,KS,41048
20200828,KY,46757
20200828,LA,146944
20200828,MA,127584
20200828,MD,106664
20200828,ME,4436
20200828,MI,111136
20200828,MN,73240
20200828,MO,80992
20200828,MP,54
20200828,MS,81294
20200828,MT,7063
20200828,NC,162491
20200828,ND,11102
20200828,NE,33101
20200828,NH,7216
20200828,NJ,190971
20200828,NM,24920
20200828,NV,67852
20200828,NY,432767
20200828,OH,120124
20200828,OK,56260
20200828,OR,26054
20200828,PA,131991
20200828,PR,31988
20200828,RI,21683
20200828,SC,115951
20200828,SD,12517
20200828,TN,150815
20200828,TX,601768
20200828,UT,50948
20200828,VA,117592
20200828,VI,1075
20200828,VT,1589
20200828,WA,72703
20200828,WI,78868
20200828,WV,9824
20200828,WY,3763
20200827,AK,5801
20200827,AL,121023
20200827,AR,58745
20200827,AS,0
20200827,AZ,200139
20200827,CA,683529
20200827,CO,55993
20200827,CT,52350
20200827,DC,13794
20200827,DE,16976
20200827,FL,611991
20200827,GA,263074
20200827,GU,1232
20200827,HI,7260
20200827,IA,59786
20200827,ID,30780
20200827,IL,228751
20200827,IN,90504
20200827,KS,39937
20200827,KY,45978
20200827,LA,146338
20200827,MA,127124
20200827,MD,106063
20200827,ME,4414
20200827,MI,110343
20200827,MN,72390
20200827,MO,79574
20200827,MP,54
20200827,MS,80695
20200827,MT,6929
20200827,NC,161076
20200827,ND,10790
20200827,NE,32727
20200827,NH,7194
20200827,NJ,190613
20200827,NM,24732
20200827,NV,67220
20200827,NY,432131
20200827,OH,118828
20200827,OK,55550
20200827,OR,25761
20200827,PA,131156
20200827,PR,31383
20200827,RI,21589
20200827,SC,114598
20200827,SD,12194
20200827,TN,149179
20200827,TX,597737
20200827,UT,50557
20200827,VA,115458
20200827,VI,1052
20200827,VT,1586
20200827,WA,72161
20200827,WI,78004
20200827,WV,9633
20200827,WY,3722
20200826,AK,5719
20200826,AL,119254
20200826,AR,58023
20200826,AS,0
20200826,AZ,199459
20200826,CA,679099
20200826,CO,55800
20200826,CT,52220
20200826,DC,13722
20200826,DE,16986
20200826,FL,608722
20200826,GA,260590
20200826,GU,1120
20200826,HI,6984
20200826,IA,58235
20200826,ID,30475
20200826,IL,227044
20200826,IN,89359
20200826,KS,39937
20200826,KY,45230
20200826,LA,145661
20200826,MA,126756
20200826,MD,105486
20200826,ME,4389
20200826,MI,109480
20200826,MN,71236
20200826,MO,78062
20200826,MP,54
20200826,MS,80110
20200826,MT,6785
20200826,NC,158985
20200826,ND,10457
20200826,NE,32348
20200826,NH,7159
20200826,NJ,190306
20200826,NM,24535
20200826,NV,66666
20200826,NY,431340
20200826,OH,117584
20200826,OK,54838
20200826,OR,25571
20200826,PA,130536
20200826,PR,30744
20200826,RI,21454
20200826,SC,114093
20200826,SD,11851
20200826,TN,147353
20200826,TX,592137
20200826,UT,50174
20200826,VA,115458
20200826,VI,1030
20200826,VT,1577
20200826,WA,71705
20200826,WI,77092
20200826,WV,9540
20200826,WY,3684
20200825,AK,5666
20200825,AL,117242
20200825,AR,57374
20200825,AS,0
20200825,AZ,199273
20200825,CA,673095
20200825,CO,55341
20200825,CT,52040
20200825,DC,13684
20200825,DE,16962
20200825,FL,605502
20200825,GA,258354
20200825,GU,984
20200825,HI,6984
20200825,IA,57294
20200825,ID,30070
20200825,IL,224887
20200825,IN,88421
20200825,KS,38401
20200825,KY,44568
20200825,LA,144116
20200825,MA,126420
20200825,MD,105046
20200825,ME,4368
20200825,MI,108637
20200825,MN,70707
20200825,MO,76636
20200825,MP,54
20200825,MS,79206
20200825,MT,6624
20200825,NC,157741
20200825,ND,10223
20200825,NE,32047
20200825,NH,7150
20200825,NJ,190021
20200825,NM,24469
20200825,NV,66413
20200825,NY,430774
20200825,OH,116495
20200825,OK,54172
20200825,OR,25391
20200825,PA,130035
20200825,PR,30720
20200825,RI,21372
20200825,SC,113488
20200825,SD,11559
20200825,TN,145417
20200825,TX,586730
20200825,UT,49767
20200825,VA,114635
20200825,VI,998
20200825,VT,1572
20200825,WA,71681
20200825,WI,76306
20200825,WV,9395
20200825,WY,3634
20200824,AK,5628
20200824,AL,116710
20200824,AR,56894
20200824,AS,0
20200824,AZ,198414
20200824,CA,668615
20200824,CO,55143
20200824,CT,52011
20200824,DC,13639
20200824,DE,16942
20200824,FL,602829
20200824,GA,256253
20200824,GU,907
20200824,HI,6600
20200824,IA,56633
20200824,ID,29853
20200824,IL,223207
20200824,IN,87592
20200824,KS,38401
20200824,KY,43899
20200824,LA,143566
20200824,MA,126022
20200824,MD,104669
20200824,ME,4356
20200824,MI,107686
20200824,MN,70298
20200824,MO,75944
20200824,MP,54
20200824,MS,78405
20200824,MT,6489
20200824,NC,156396
20200824,ND,9989
20200824,NE,31889
20200824,NH,7134
20200824,NJ,189719
20200824,NM,24396
20200824,NV,66010
20200824,NY,430145
20200824,OH,115651
20200824,OK,53522
20200824,OR,25155
20200824,PA,129474
20200824,PR,30618
20200824,RI,21302
20200824,SC,112551
20200824,SD,11425
20200824,TN,144604
20200824,TX,580384
20200824,UT,49364
20200824,VA,113630
20200824,VI,984
20200824,VT,1566
20200824,WA,71681
20200824,WI,75619
20200824,WV,9312
20200824,WY,3603
20200823,AK,5558
20200823,AL,115060
20200823,AR,56574
20200823,AS,0
20200823,AZ,198103
20200823,CA,663669
20200823,CO,54883
20200823,CT,51519
20200823,DC,13590
20200823,DE,16895
20200823,FL,600571
20200823,GA,253949
20200823,GU,820
20200823,HI,6356
20200823,IA,56275
20200823,ID,29662
20200823,IL,221595
20200823,IN,85932
20200823,KS,36856
20200823,KY,43529
20200823,LA,142943
20200823,MA,125360
20200823,MD,104102
20200823,ME,4335
20200823,MI,106808
20200823,MN,69584
20200823,MO,75075
20200823,MP,54
20200823,MS,77894
20200823,MT,6429
20200823,NC,155113
20200823,ND,9863
20200823,NE,31780
20200823,NH,7107
20200823,NJ,189494
20200823,NM,24302
20200823,NV,65601
20200823,NY,429737
20200823,OH,114802
20200823,OK,53165
20200823,OR,24937
20200823,PA,129048
20200823,PR,29896
20200823,RI,21263
20200823,SC,111988
20200823,SD,11276
20200823,TN,143937
20200823,TX,577537
20200823,UT,49115
20200823,VA,112966
20200823,VI,960
20200823,VT,1557
20200823,WA,71659
20200823,WI,75205
20200823,WV,9272
20200823,WY,3579
20200822,AK,5494
20200822,AL,114532
20200822,AR,56199
20200822,AS,0
20200822,AZ,197895
20200822,CA,656892
20200822,CO,54586
20200822,CT,51519
20200822,DC,13534
20200822,DE,16828
20200822,FL,597597
20200822,GA,252222
20200822,GU,767
20200822,HI,6072
20200822,IA,55735
20200822,ID,29369
20200822,IL,219702
20200822,IN,85317
20200822,KS,36856
20200822,KY,42265
20200822,LA,141720
20200822,MA,125360
20200822,MD,103523
20200822,ME,4317
20200822,MI,106044
20200822,MN,68867
20200822,MO,74257
20200822,MP,54
20200822,MS,77268
20200822,MT,6376
20200822,NC,153641
20200822,ND,9724
20200822,NE,31626
20200822,NH,7092
20200822,NJ,189236
20200822,NM,24095
20200822,NV,65069
20200822,NY,429165
20200822,OH,114165
20200822,OK,52599
20200822,OR,24710
20200822,PA,128429
20200822,PR,29577
20200822,RI,21175
20200822,SC,111295
20200822,SD,11135
20200822,TN,142083
20200822,TX,573139
20200822,UT,48814
20200822,VA,112072
20200822,VI,960
20200822,VT,1553
20200822,WA,71598
20200822,WI,74726
20200822,WV,9185
20200822,WY,3543
20200821,AK,5403
20200821,AL,112770
20200821,AR,55652
20200821,AS,0
20200821,AZ,196899
20200821,CA,650336
20200821,CO,54230
20200821,CT,51519
20200821,DC,13469
20200821,DE,16770
20200821,FL,593286
20200821,GA,249630
20200821,GU,767
20200821,HI,5844
20200821,IA,55006
20200821,ID,29120
20200821,IL,217346
20200821,IN,84317
20200821,KS,36856
20200821,KY,42265
